section_index,starting_verse,ending_verse,name_eng,name_bn,summary_eng,summary_bn
1,1,20,"Three Paths","তিনটি পথ","This Book is presented as guidance for the righteous who believe in God, His revelations, and give to charity. It warns that the hearts of disbelievers are sealed and they will not believe, while hypocrites who only pretend to have faith are described as mischievous deceivers with a disease in their hearts.","এই কিতাবটি ধার্মিকদের জন্য পথপ্রদর্শক হিসাবে উপস্থাপন করা হয়েছে যারা আল্লাহকে বিশ্বাস করে, তাঁর প্রত্যাদেশ এবং দান করে। এটি সতর্ক করে যে অবিশ্বাসীদের হৃদয় মোহর করা হয়েছে এবং তারা বিশ্বাস করবে না, যখন মুনাফিকরা যারা কেবল ভান করে বিশ্বাস করে তাদেরকে দুষ্ট প্রতারক হিসাবে বর্ণনা করা হয়েছে যাদের অন্তরে রোগ রয়েছে।"
2,21,39,"Adam's Fall","আদমের পতন","The text calls all people to worship the one Creator of heaven and earth. It then recounts the story of Adam, whom God placed on the earth. God commanded the angels to prostrate to Adam, but Satan refused out of pride. Satan then tempted Adam and his wife to approach a forbidden tree in the garden, leading to their expulsion. Adam later repented and was pardoned by God.","এই পাঠ্যটি সমস্ত মানুষকে আকাশ ও পৃথিবীর এক স্রষ্টার উপাসনা করার আহ্বান জানিয়েছে। এরপরে আদমের গল্প বলা হয়েছে, যাকে আল্লাহ পৃথিবীতে স্থাপন করেছিলেন। আল্লাহ ফেরেশতাদের আদমকে সেজদা করার আদেশ দিয়েছিলেন, কিন্তু শয়তান অহংকারবশত অস্বীকার করেছিল। এরপর শয়তান আদম ও তার স্ত্রীকে বাগানে একটি নিষিদ্ধ গাছের কাছে যেতে প্ররোচিত করে, যার ফলে তাদের বহিষ্কার করা হয়। পরে আদম অনুতপ্ত হন এবং আল্লাহ তাকে ক্ষমা করেন।"
3,40,74,"Exodus Recounted","যাত্রার বিবরণ","The Children of Israel are reminded of God's favor in delivering them from Pharaoh, who killed their sons. The text recounts God parting the sea for them, giving Moses the Scripture after forty nights on the mount, and providing them with Manna and quails in the wilderness. Their history of disobedience is also noted, particularly their worship of the golden calf, for which they were commanded to repent.","ইস্রায়েলের সন্তানদের ফেরাউনের হাত থেকে মুক্তি দেওয়ার জন্য আল্লাহর অনুগ্রহের কথা স্মরণ করিয়ে দেওয়া হয়েছে, যিনি তাদের পুত্রদের হত্যা করেছিলেন। পাঠ্যটিতে তাদের জন্য সমুদ্রকে বিভক্ত করা, চল্লিশ রাতের জন্য মূসাকে পাহাড়ে কিতাব দেওয়া এবং মরুভূমিতে মান্না ও শালগম সরবরাহ করার কথা বলা হয়েছে। তাদের অবাধ্যতার ইতিহাসও উল্লেখ করা হয়েছে, বিশেষ করে সোনার বাছুরের পূজা, যার জন্য তাদের অনুতপ্ত হওয়ার আদেশ দেওয়া হয়েছিল।"
4,75,123,"Broken Covenants","ভঙ্গ চুক্তি","This section accuses some Jewish scribes of knowingly altering God's word after hearing it. It rebukes them for believing the Fire of judgment will only touch them for a few days. It accuses them of a history of rejecting God's messengers—disbelieving some and killing others—and it specifically mentions their disbelief in Jesus, son of Mary, to whom God gave clear signs and supported with the Holy Spirit.","এই অংশে কিছু ইহুদি পণ্ডিতকে ঈশ্বরের বাণী শোনার পরে জেনেবুঝে পরিবর্তন করার অভিযোগ করা হয়েছে। এটি তাদের তিরস্কার করে যে তারা বিশ্বাস করে বিচারের আগুন কেবল কয়েক দিনের জন্য তাদের স্পর্শ করবে। এটি তাদের ঈশ্বরের প্রেরিতদের প্রত্যাখ্যানের ইতিহাসের জন্য অভিযুক্ত করে—কাউকে অবিশ্বাস করে এবং কাউকে হত্যা করে—এবং এটি বিশেষভাবে মরিয়মের পুত্র যীশুর প্রতি তাদের অবিশ্বাস উল্লেখ করে, যাঁকে আল্লাহ স্পষ্ট নিদর্শন দিয়েছিলেন এবং পবিত্র আত্মা দ্বারা সমর্থন করেছিলেন।"
5,124,141,"Abraham's Religion","আব্রাহামের ধর্ম","Abraham is presented as a model of faith, whom God tested and made a leader for all mankind. The text states that Abraham and his son Ishmael raised the foundations of a sacred House of worship. This faith, a state of full submission to the one God, is described as the true religion, which Abraham enjoined upon his descendants. All believers are commanded to believe in God and all of His prophets without making any distinctions.","আব্রাহামকে বিশ্বাসের আদর্শ হিসেবে উপস্থাপন করা হয়েছে, যাঁকে আল্লাহ পরীক্ষা করেছিলেন এবং সমগ্র মানবজাতির নেতা বানিয়েছিলেন। পাঠ্যটিতে বলা হয়েছে যে আব্রাহাম ও তাঁর পুত্র ইসমাইল একটি পবিত্র উপাসনালয়ের ভিত্তি স্থাপন করেছিলেন। এই ধর্ম, এক আল্লাহর কাছে পূর্ণ আত্মসমর্পণের অবস্থা, এটিকে সত্য ধর্ম হিসেবে বর্ণনা করা হয়েছে, যা আব্রাহাম তাঁর বংশধরদের আদেশ করেছিলেন। সকল বিশ্বাসীকে আল্লাহ ও তাঁর সকল নবীদের মধ্যে কোন পার্থক্য না করে বিশ্বাস করার আদেশ দেওয়া হয়েছে।"
6,142,157,"New Direction","নতুন দিকনির্দেশ","The direction of prayer for the community is changed to a new one, towards the sacred House of worship built by Abraham. This change is described as a test from God to see who would remain faithful to the Messenger. The community is told that they will surely be tested with hardship, fear, and loss, and they are instructed to seek help through patience and prayer, for God is with the patient.","সম্প্রদায়ের জন্য নামাজের দিক পরিবর্তন করে নতুন দিকে করা হয়েছে, যা আব্রাহামের নির্মিত পবিত্র উপাসনালয়ের দিকে। এই পরিবর্তনকে আল্লাহ কর্তৃক একটি পরীক্ষা হিসেবে বর্ণনা করা হয়েছে যে কে রাসূলের প্রতি অনুগত থাকবে। সম্প্রদায়কে বলা হয়েছে যে তাদের অবশ্যই কষ্ট, ভয় ও ক্ষতির সাথে পরীক্ষা করা হবে এবং তাদের ধৈর্য ও নামাজের মাধ্যমে সাহায্য চাইতে নির্দেশ দেওয়া হয়েছে, কারণ আল্লাহ ধৈর্যশীলদের সাথে আছেন।"
7,158,242,"Community Law","সম্প্রদায় বিধি","A legal code is prescribed for the community, paralleling concepts from the Mosaic law. This includes a law of retaliation for murder, dietary laws, and rules for making bequests. The text mandates a period of fasting during the month of Ramadan. It also provides detailed family law regarding who one can marry and extensive rules for divorce, reconciliation, and the care of children.","সম্প্রদায়ের জন্য একটি আইনি বিধি নির্ধারণ করা হয়েছে, যা মূসার আইনের ধারণার সমান্তরাল। এর মধ্যে রয়েছে হত্যার জন্য প্রতিশোধের আইন, খাদ্য বিধি এবং দান করার নিয়ম। পাঠ্যটিতে রমজান মাসে রোজা পালনের আদেশ দেওয়া হয়েছে। এটি বিবাহ করা যাবে এমন ব্যক্তিদের বিষয়ে বিস্তারিত পারিবারিক আইন এবং বিবাহবিচ্ছেদ, আপোষ এবং সন্তানদের যত্নের বিষয়ে ব্যাপক নিয়মাবলী প্রদান করে।"
8,243,283,"War and Survival","যুদ্ধ ও টিকে থাকা","To encourage fighting in God's cause, the text recounts narratives from the history of Israel, including the story of their prophet appointing Saul as king and David's subsequent defeat of Goliath. The section includes a powerful description of God's majesty, known as the Verse of the Throne, which declares His absolute power over all things. This is followed by financial laws that command charity and strictly forbid the charging of interest (usury).","আল্লাহর পথে যুদ্ধকে উৎসাহিত করার জন্য, পাঠ্যটিতে ইস্রায়েলের ইতিহাসের বিভিন্ন ঘটনার বিবরণ রয়েছে, যার মধ্যে তাদের নবীর শৌলকে রাজা নিযুক্ত করা এবং পরবর্তীতে দাউদের গোলিয়াথকে পরাজিত করার গল্প অন্তর্ভুক্ত রয়েছে। এই অংশে আল্লাহর মহিমার একটি শক্তিশালী বর্ণনা রয়েছে, যা সিংহাসনের আয়াত নামে পরিচিত, যা সমস্ত কিছুর উপর তাঁর পরম ক্ষমতা ঘোষণা করে। এর পরে আর্থিক আইন রয়েছে যা দান করার আদেশ দেয় এবং সুদ কঠোরভাবে নিষিদ্ধ করে।"
9,284,286,"The Creed","বিশ্বাস","The text concludes by stating the community's creed: a belief in one God, His angels, His revealed Books, and all of His messengers without distinction. It affirms that God does not burden a person beyond their ability to bear it. The Book ends with a prayer asking God for forgiveness, mercy, and victory over those who disbelieve.","এই পাঠ্যটি সম্প্রদায়ের বিশ্বাসের মূলনীতি ঘোষণার মাধ্যমে শেষ হয়েছে: এক আল্লাহতে বিশ্বাস, তাঁর ফেরেশতাগণ, তাঁর অবতীর্ণ কিতাবসমূহ এবং তাঁর সকল রাসূলের মধ্যে কোন পার্থক্য না করা। এটি নিশ্চিত করে যে আল্লাহ কোন ব্যক্তির উপর তার সাধ্যের বাইরে বোঝা চাপান না। এই কিতাবটি অবিশ্বাসীদের বিরুদ্ধে ক্ষমা, দয়া এবং বিজয়ের জন্য আল্লাহর কাছে প্রার্থনার মাধ্যমে শেষ হয়েছে।"

